	pex19Δ-1	pex19Δ-2	pex19Δ-3	pex19Δ-6	pex19Δ-7	pex19Δmsp1Δ-1	pex19Δmsp1Δ-2	pex19Δmsp1Δ-3	pex19Δmsp1Δ-4	pex19Δmsp1Δ-5	log$_2$(Fold Change)	p-val	padj	-log$_1$$_0$(p-value)	Cohen's $\mathit{d}$
URA10	11.8748	25.006	24.0088	9.05904	5.42626	5.87678	5.09305	5.51479	4.38244	3.75811	-1.6139504987314364	0.03504205130337681	0.8701670543776736	1.4554104788834736	1.6025784183924456
RIM11	10.1419	25.505	24.1426	11.2406	3.82593	10.708	3.83682	4.11909	2.22997	4.25009	-1.5739060808048557	0.056768364091802505	0.8903049346605897	1.2458936207673617	1.406995464557286
RRD1	13.1556	23.5366	23.7317	8.2089	6.13607	7.04337	5.10565	5.30165	4.14615	3.63434	-1.5672311938126429	0.030228484211129128	0.8301199923987992	1.5195836297076302	1.6626796416533163
YOR352W	9.8374	27.3881	27.5502	6.84759	3.01193	9.72272	3.79383	5.03301	2.68046	4.13483	-1.5570259631541754	0.10406206683727365	0.8903049346605897	0.9827075525788556	1.1596678749973388
TRM3	10.635	26.2232	25.9673	7.25566	4.25752	10.3194	3.94742	4.61928	2.72653	4.04871	-1.534516563159029	0.08110101000049365	0.8903049346605897	1.0909737372202892	1.2619564412816293
APL5	8.87272	31.7578	26.8236	3.99573	2.78473	14.326	2.88526	3.16836	1.67173	3.71416	-1.5266502312158532	0.17211260899658043	0.8903049346605897	0.7641873120254591	0.9484106866666493
NBP1	4.20367	5.19653	2.70462	5.67295	56.3331	4.09381	2.77361	3.01524	12.5715	3.43497	-1.5173386767011567	0.3875995980256117	0.9898723675844239	0.4116166820220701	0.5778527524769969
HMT1	10.9517	24.9603	26.7605	6.71954	4.16851	10.1108	4.39096	4.5532	2.76241	4.62206	-1.4762411920440157	0.08801850088254935	0.8903049346605897	1.055426032546317	1.2284861569586527
PDR1	9.03504	26.2768	26.4491	5.15137	6.56548	12.2839	3.37136	4.24084	3.79489	2.83122	-1.4701072399678052	0.1037397189437565	0.8903049346605897	0.9840549329506949	1.1609479763649884
HOM3	9.26309	27.8041	29.4985	3.9346	2.97232	13.4087	3.5599	3.46191	2.23091	3.86594	-1.4697254191709828	0.16557726356455046	0.8903049346605897	0.7809992991113679	0.9649874144937549
BCH1	10.1699	26.1834	25.1755	6.11588	5.60392	10.577	4.07692	4.29613	4.45754	3.34372	-1.453191644186288	0.08657608320924876	0.8903049346605897	1.0626020660059745	1.2352507644171884
YKL187C	7.36695	4.71	4.49261	3.64522	6.57627	11.668	17.4377	7.88947	22.1105	14.1033	1.4502693022769009	0.006305860895772458	0.5031790364785704	2.200255613807708	2.32136352549647
UBR2	6.63188	11.1192	11.399	6.75738	36.9158	6.36597	3.23582	3.27486	9.75985	4.54027	-1.4220253259762645	0.15478073010086887	0.8903049346605897	0.8102831091039543	0.9937080600252156
SEF1	9.78458	25.2351	26.9592	6.90766	3.82993	13.2122	3.46324	3.4156	2.90621	4.28631	-1.4142502643523331	0.11856839351396421	0.8903049346605897	0.9260310643599339	1.1056187103529305
NMD5	12.1792	21.7161	21.5311	9.46845	7.77479	7.33334	4.86245	5.55269	5.5703	4.01159	-1.4108477680604188	0.017220227716712912	0.7330005109166081	1.7639611098244103	1.8937720600642975
EFT2	12.8302	23.5285	27.0283	5.50995	3.52003	9.57798	5.13189	5.86245	3.38063	3.6301	-1.3925460215646073	0.10076274548092831	0.8903049346605897	0.9967000077978502	1.1729517086605763
PRI2	9.73052	26.2367	25.6489	5.80768	4.84849	10.0425	5.718	4.39448	3.87994	3.6928	-1.3821136167975292	0.10688690989527667	0.8903049346605897	0.9710754782182032	1.1486078567713016
APC1	9.01847	23.8624	24.9183	7.92938	6.32534	9.51842	3.53592	4.37798	5.86223	4.65157	-1.3664283245917668	0.07064627128391644	0.8903049346605897	1.1509107553094624	1.3181989103040939
YLR345W	10.6727	25.6886	24.4563	7.16075	3.87688	11.0937	4.68055	5.51728	2.62182	4.23141	-1.3522268215019813	0.10172358654791941	0.8903049346605897	0.9925783359667271	1.1690410291541464
GRS2	8.9959	25.9127	27.2734	5.5768	4.05452	11.3362	4.70487	3.778	3.07096	5.29662	-1.3492394383189974	0.13650315413732814	0.8903049346605897	0.8648573133953087	1.046764722955311
UBP15	10.1667	24.0263	24.3657	6.03744	7.13967	10.6916	4.45904	4.76605	4.4821	3.86546	-1.3437150665485063	0.07614203820755225	0.8903049346605897	1.1183755019576207	1.2876956140905436
UTR2	7.1289	5.72997	6.38755	3.52865	5.52793	8.50381	13.5143	5.34168	32.0212	12.316	1.340957571812283	0.10132313525096227	0.8903049346605897	0.994291380260036	1.170666606495264
UTP4	2.70266	2.69688	3.08037	4.80243	58.2563	2.43188	1.79949	2.28438	19.1104	2.83524	-1.3297165698846642	0.4750410145688506	0.9979149347641074	0.3232688922025969	0.47399773133650663
TAH1	12.3783	22.155	24.6673	8.20897	3.78086	9.06413	4.6471	5.75514	3.98616	5.35708	-1.305133184704637	0.07248242296388675	0.8903049346605897	1.1397672973641115	1.3077578011729525
DPH1	10.5208	24.7678	24.454	5.83069	5.35576	12.0983	5.06833	4.58079	3.69332	3.6303	-1.286793940750922	0.10845280758444205	0.8903049346605897	0.9647592006562619	1.1425954540609495
ERV1	12.3446	13.0725	13.7707	15.6863	15.9583	4.90502	4.94641	5.4625	6.84516	7.00861	-1.2800377977198165	9.676157630294775e-06	0.008493247359991239	5.0142970653401715	6.214430657578106
CDC36	11.5917	22.7004	23.7476	9.29594	3.37672	10.1364	5.17139	5.86898	3.49706	4.61379	-1.2716714493026027	0.07836832189990348	0.8903049346605897	1.1058594526759304	1.2759450016983218
RUP1	10.5471	26.0094	28.625	4.02141	1.39634	13.776	4.8902	4.65718	2.04355	4.0338	-1.2638008806979455	0.20444452338435048	0.8903049346605897	0.6894245187404239	0.8738118900986034
SLA2	10.605	25.0296	24.8546	5.65714	4.36314	10.6627	4.31679	6.08945	4.7308	3.69076	-1.257566957966589	0.12015250211449596	0.8903049346605897	0.9202671808051157	1.1000979777530218
YAF9	9.97479	22.9663	23.0363	7.52796	6.78168	10.382	4.25192	5.45048	5.49323	4.13523	-1.2421710167713216	0.06888551328253717	0.8903049346605897	1.1618721012123205	1.3284634846796968
BCH2	10.6478	23.8377	24.75	5.90731	5.13064	10.1281	5.16164	5.48762	4.32486	4.62445	-1.2412218671691087	0.10376868022305677	0.8903049346605897	0.9839337067842251	1.1608328118965918
MET18	10.731	24.193	24.177	6.59773	4.46394	12.8355	3.77023	4.27805	3.65397	5.2995	-1.233589076434791	0.11813738249229587	0.8903049346605897	0.927612655805524	1.1071327525268828
ACS1	11.6594	22.97	26.7404	5.65497	3.00183	10.9469	5.84835	6.34034	2.89601	3.9418	-1.2242202983615427	0.13969456629891427	0.8903049346605897	0.8548204863145392	1.0370491766877812
PAN3	11.7163	22.3426	26.0651	5.4681	4.43227	12.9457	4.65964	4.00383	3.71888	4.64761	-1.224065579569447	0.1282125620189293	0.8903049346605897	0.8920694213988823	1.0730184043696689
VID28	9.96936	26.6553	25.1403	5.43893	2.7944	12.914	4.88088	4.91204	2.89392	4.40082	-1.2222773510100455	0.16966172652332476	0.8903049346605897	0.7704161178145057	0.9545601338429921
RAD53	8.20565	28.5813	26.6212	4.8486	1.71742	14.0711	5.1395	3.74399	2.81002	4.26119	-1.2206197840905721	0.22091503848898003	0.890648082372244	0.655774719119619	0.8397020809747173
COX19	1.61199	2.12786	2.01587	10.6036	53.5402	1.03791	2.72087	4.44426	18.4893	3.40815	-1.2154955761209203	0.47096856452232283	0.9979149347641074	0.32700807951675304	0.4785300771779326
LYS1	6.77312	6.46798	7.06153	5.48961	4.46169	13.3075	13.1493	14.8131	13.3612	15.1149	1.2049879180325926	1.6267779570397364e-06	0.0057116174071665145	5.788671720949566	7.868907861666545
PAN2	11.109	22.3504	24.7403	7.55234	3.86262	10.678	5.84142	4.97914	3.64518	5.24162	-1.1960147673201402	0.10430323245425907	0.8903049346605897	0.9817022321746735	1.1587126179785636
CLP1	10.5251	23.932	23.8441	7.15002	4.07723	11.1071	5.684	4.78003	4.48106	4.41937	-1.190140066751496	0.11304326771270944	0.8903049346605897	0.9467552969389877	1.1254303863518957
CET1	10.8806	24.1534	25.1693	4.57818	4.69874	11.7353	5.09278	4.41346	5.18987	4.08826	-1.1868629593302835	0.14032189546132004	0.8903049346605897	0.8528745575097327	1.0351634385015978
ADH4	4.21883	3.99177	2.61224	7.94396	11.9501	7.56287	18.099	16.1287	20.4519	7.04068	1.1734719002992675	0.04471308688530132	0.8827048157579221	1.3495653464376034	1.503724165657828
ATG7	10.4646	24.5853	21.9096	7.9134	4.39372	10.8156	4.47512	4.97043	3.78155	6.69067	-1.1723543052765586	0.10194339130103885	0.8903049346605897	0.991640923044451	1.1681513432607564
ARK1	12.4218	22.2005	20.865	11.4055	2.31496	10.3518	6.08077	6.2757	2.72123	5.36285	-1.1683618360895325	0.07836768933507936	0.8903049346605897	1.1058629581806374	1.2759482941989715
MMS1	11.0101	23.9331	23.7704	5.12031	5.33434	10.0836	5.42011	5.82898	4.85312	4.64599	-1.1656908375075568	0.1153586695420264	0.8903049346605897	0.9379497614135534	1.1170197533420192
MKT1	9.66994	21.2435	21.9169	7.5172	8.81608	11.1475	4.66832	5.28757	5.65482	4.07811	-1.1653827765167204	0.05579481241615248	0.8903049346605897	1.2534061781909316	1.414008024808002
NUP1	3.00136	3.28058	4.60944	5.58573	52.6685	4.4836	3.06509	3.25464	15.6958	4.35525	-1.1641623539222146	0.4663089986792154	0.9979149347641074	0.3313262035911459	0.4837477010418628
RUD3	12.3032	22.4434	26.9357	4.7178	2.70309	15.1923	2.53957	3.74427	3.54089	5.87973	-1.161296753741276	0.1876231985287598	0.8903049346605897	0.726713464623556	0.9112091827825112
MDH3	8.42128	5.84978	5.63088	6.74793	4.44418	13.6055	14.5985	15.8389	10.7163	14.1468	1.147991071334062	0.00011061965732008373	0.05267516828224906	3.9561676912314097	4.438660088888362
DIS3	14.1295	21.632	23.5705	5.1864	4.25726	8.9789	6.4138	6.43779	5.10791	4.28591	-1.1392283880426446	0.10375623479732457	0.8903049346605897	0.9839857967198011	1.1608822973732262
RIC1	10.7888	26.1527	23.9615	4.78097	3.04869	11.5759	6.21867	4.70467	3.89896	4.86912	-1.1363402261379327	0.17236284215453868	0.8903049346605897	0.7635563532825783	0.947787244988798
THI80	11.373	16.3304	15.0847	6.91628	18.9522	5.54013	7.66533	5.91641	7.46048	4.76102	-1.131237688992241	0.008830048734872519	0.5710786942818243	2.0540368994543905	2.175343526464666
SPC98	11.7435	21.1421	25.8159	5.52925	4.37903	13.3545	5.33585	5.35478	3.56121	3.78396	-1.1280954234630476	0.1450426270219943	0.8903049346605897	0.8385043428699122	1.02121598925656
COP1	10.9551	22.7177	25.2925	6.02811	3.53802	12.6422	5.61152	5.42345	3.29445	4.497	-1.1228518778610403	0.1523157452040837	0.8903049346605897	0.817255200394715	1.0005189042970521
GRE1	20.8847	14.0336	9.19279	16.4176	8.00084	3.57874	8.95035	11.7113	4.69619	2.53389	-1.1227270675932521	0.03555171905117021	0.8701670543776736	1.4491393947545443	1.5967136312839645
LAA1	11.4633	21.532	23.0922	6.88485	5.53206	11.6888	5.66484	4.51009	3.98718	5.64467	-1.1210474860539272	0.09515359004629542	0.8903049346605897	1.0215748215873317	1.196515195871436
PUF2	10.9471	20.3169	21.5954	7.80494	7.82861	10.9313	4.88022	6.82622	4.94484	3.9245	-1.120279443616985	0.053670793959014265	0.8903049346605897	1.2702619800908608	1.4297387129895085
GRH1	13.0712	20.9891	21.5194	8.77912	4.13105	8.91547	6.00548	6.02009	5.04114	5.52798	-1.1200735419339585	0.06511555786893668	0.8903049346605897	1.1863152343291008	1.351334011982419
CWC2	8.94973	25.319	24.0289	6.06767	4.03171	12.005	6.96461	4.71757	3.55594	4.35992	-1.1138699159126637	0.1645880400047619	0.8903049346605897	0.7836017265274609	0.9675475239899034
RSC4	12.7515	20.2229	22.663	5.94808	6.76511	10.0485	4.2087	5.88143	6.9508	4.55997	-1.110775641454927	0.07339671971948253	0.8903049346605897	1.134323349342267	1.3026546340834502
CEX1	9.23877	24.1875	21.8324	6.66174	6.40008	13.5091	5.24896	3.98491	3.37017	5.56639	-1.1087673904801958	0.12523149227536892	0.8903049346605897	0.9022864442758577	1.0828443425067436
SIF2	13.3955	20.0937	22.8482	6.31406	5.43758	9.64038	5.05063	5.41768	6.57096	5.23127	-1.0933723900234895	0.08068573701298083	0.8903049346605897	1.0932032296399936	1.2640525198332788
LOS1	10.2567	24.2655	25.6781	4.72784	3.12972	13.0639	6.14484	3.04072	2.06694	7.6256	-1.0913071404094643	0.20013851238101948	0.8903049346605897	0.6986693326271306	0.883121228227046
PHO85	10.9647	22.867	21.8638	7.55163	4.79177	12.3722	5.27933	5.85598	3.22471	5.22885	-1.0900441088704398	0.11075592656347802	0.8903049346605897	0.95563302533108	1.1338996411482458
SAP185	6.02154	9.09429	10.6383	5.8505	36.4161	6.52116	4.05281	4.13623	13.1418	4.12729	-1.0888365805165419	0.2665178600494902	0.9376194455248097	0.5742736824683956	0.7554259505816947
DCP1	9.73825	23.5089	22.4479	6.40298	5.76123	11.4524	5.47995	5.46153	4.66716	5.07978	-1.0781389610876677	0.11981181106934258	0.8903049346605897	0.9215003670101471	1.1012795434981675
APL6	9.1884	26.4992	21.1873	5.81454	5.15458	15.5676	4.87906	4.60994	2.89992	4.19942	-1.0771363935147171	0.18404368164632898	0.8903049346605897	0.7350790876073482	0.9195456203629403
SPT6	9.68617	23.9365	24.2939	4.87856	4.91406	14.1149	4.74366	4.59112	4.32199	4.51922	-1.0682244555076228	0.17849315473333752	0.8903049346605897	0.7483784345576312	0.9327605646970283
PPM1	12.5294	18.0243	17.7524	12.9703	6.42073	9.28231	6.02683	7.67383	3.88814	5.43177	-1.0674318766926343	0.015633208043856827	0.6992148376738025	1.8059518925640456	1.9339630818120932
VID22	10.6469	21.796	24.5365	5.06795	5.52469	12.2142	4.15009	5.22604	5.79753	5.04005	-1.0591903665915186	0.14360960504027043	0.8903049346605897	0.8428165122073229	1.0254053688070206
ABD1	9.16077	20.9627	22.2348	5.23208	9.85256	12.8868	5.30401	4.59901	5.15487	4.61249	-1.0506910431253955	0.10107766344336583	0.8903049346605897	0.9953448059822528	1.17166608545819
GSY2	13.4982	23.2216	21.2002	5.50448	4.00475	9.29985	6.36187	7.63357	4.63902	4.63645	-1.0497967393753223	0.12147227837948919	0.8903049346605897	0.9155228226457829	1.095550150276077
YNR029C	6.71779	7.28909	7.73536	6.35481	39.2606	6.22685	5.37891	5.32715	9.95141	5.75807	-1.0450951140167097	0.3173207916005136	0.9693684594289182	0.4985014709769791	0.6745165042852168
YLL032C	11.1051	20.0572	22.6923	7.46123	6.02826	10.2709	5.99993	5.93989	5.43797	5.00707	-1.0442138582496279	0.08207058227188574	0.8903049346605897	1.085812485346464	1.2571027006693267
HGH1	11.4265	20.1403	21.8075	9.63038	4.33673	9.86255	6.41727	6.96264	3.60013	5.81599	-1.0440318650850113	0.07852636922528673	0.8903049346605897	1.1049844822863224	1.2751231720986393
ABP140	8.70782	25.1396	23.5562	5.49255	4.38365	10.2593	6.01266	6.55874	4.65539	5.2341	-1.039992720057921	0.17267182023701386	0.8903049346605897	0.7627785328097769	0.9470185581255319
YDL218W	19.4327	12.2562	7.21953	14.4873	13.7399	3.95683	6.14741	9.89674	7.63133	5.23211	-1.0305521078140811	0.014810474223163533	0.6992148376738025	1.8294310353879182	1.956511019872786
TRS65	10.1337	23.1186	23.1386	5.18794	5.53487	12.7333	5.48416	4.46547	4.87105	5.33231	-1.029121247875238	0.1536439455657574	0.8903049346605897	0.813484548711792	0.9968367114465065
RPN3	12.1604	20.0394	21.1381	7.38408	6.39096	10.5411	5.95028	5.97919	5.07288	5.34352	-1.0290748649017731	0.06817370532731687	0.8903049346605897	1.1663831009043537	1.332686140879919
YIL001W	9.75038	21.3218	21.8905	6.71732	7.41871	12.5854	5.2364	4.75325	4.49504	5.83119	-1.0281413182554964	0.10218839844757444	0.8903049346605897	0.9905984072952548	1.1671617915811607
GLG1	8.97743	25.5132	23.888	4.64314	3.93139	14.2516	4.8258	3.84255	4.3475	5.77938	-1.018640259688901	0.21927205116952386	0.890648082372244	0.6590167207911787	0.8430043991066317
NOP1	10.9309	19.616	23.724	6.29315	6.27487	10.2833	6.19761	5.88485	6.38153	4.41389	-1.0111930778756528	0.10502199102333404	0.8903049346605897	0.9787197525481925	1.1558779751096557
POL2	10.965	19.0441	19.8604	8.68532	8.28253	10.0293	5.35211	5.99443	6.60327	5.18355	-1.0110948028066975	0.03618467386475088	0.8701670543776736	1.441475337349862	1.5895478446730091
VID30	9.75687	21.5526	22.6865	8.37151	4.41499	11.8657	5.84612	6.95256	4.2733	4.27981	-1.0075263899249935	0.12719854164672903	0.8903049346605897	0.89551786792038	1.0763366921082318
YLR177W	12.6384	21.9184	20.9984	7.79264	3.22296	7.84042	7.41556	8.37978	3.68923	6.10421	-0.9937806756492868	0.11437551157932914	0.8903049346605897	0.9416669504067384	1.1205715039975042
PDS5	10.3448	23.5031	22.2568	5.57283	4.86014	13.7103	4.73686	5.39555	4.18732	5.43234	-0.9916317180969829	0.17085355824643858	0.8903049346605897	0.767375972026461	0.9515598851825761
TEX1	6.39657	27.1418	26.5005	2.99435	3.50208	19.4506	2.79414	2.6493	2.66453	5.90618	-0.9914777223825855	0.3337372808680181	0.9693684594289182	0.47659527680068153	0.6505764082028382
GIR2	10.6209	23.8485	23.1674	5.52445	3.37018	11.8133	6.5831	6.73975	3.62394	4.70847	-0.9912295630144952	0.18440521738258028	0.8903049346605897	0.7342267956012074	0.9186971585787638
CRM1	10.7958	23.3352	21.0084	7.30025	4.05679	14.2808	6.18671	4.78485	2.86389	5.38714	-0.9889700252396111	0.1613564988128536	0.8903049346605897	0.7922135382134518	0.9760083450067962
DOA4	10.082	19.6079	20.8416	8.8773	7.07243	10.2979	5.50833	5.49684	6.84381	5.37186	-0.9879791564892516	0.060896051923072	0.8903049346605897	1.2154108630913454	1.3785291688224153
SNF12	10.0971	20.5772	21.2305	6.89308	7.6825	10.6017	5.16829	6.20648	7.01464	4.52852	-0.9879224043235434	0.0828462100086548	0.8903049346605897	1.0817273545949946	1.2532596106223197
TPK1	9.89279	17.5875	17.6683	6.66454	14.6623	9.48368	5.79363	6.09704	7.32679	4.82343	-0.9876023766207325	0.02186252266562398	0.7843569455584576	1.6602997272651105	1.7952219781893684
DAL81	11.7079	17.1553	19.6954	12.0869	5.81767	8.76156	4.12771	6.90059	6.39733	7.34967	-0.9868074867534147	0.031059270551329243	0.8324358695092898	1.507808748197048	1.651638907531424
QDR1	3.97205	5.09186	9.37406	12.0296	35.948	6.84765	2.36308	2.60686	10.6515	11.1153	-0.9837306713298689	0.3163960927250631	0.9693684594289182	0.4997688883804994	0.6758934843814625
PIH1	9.31725	24.9814	22.4205	5.72686	3.94197	10.3432	6.40616	8.19656	3.76987	4.89625	-0.9819439492387353	0.18467356130340512	0.8903049346605897	0.7335952756584099	0.9180683521972811
YGR067C	9.24749	22.9874	20.8629	6.66187	6.62226	12.833	5.85072	4.15423	5.03122	5.74897	-0.9815504514646862	0.13166176109783165	0.8903049346605897	0.8805403401147044	1.0619105207060124
YMR259C	13.3001	22.4916	21.0682	5.85934	3.55776	12.2003	6.24974	6.21956	3.12269	5.93062	-0.9747792671147109	0.15252093105227382	0.8903049346605897	0.8166705522730673	0.9999481639662298
YDJ1	12.4482	19.8349	21.3924	7.81339	4.76356	9.59506	7.6245	7.19047	4.23377	5.10374	-0.973191464180179	0.09151755849559588	0.8903049346605897	1.0384955744998479	1.212509050979994
FKH2	9.4955	22.645	23.6634	5.4278	5.01929	12.0596	4.69155	5.53746	5.98179	5.47867	-0.9730942658133662	0.17212397462639406	0.8903049346605897	0.7641586338979849	0.9483823522977333
UBR1	10.4792	20.1799	19.4074	9.07904	7.10456	10.1024	5.65294	6.36767	6.41405	5.21283	-0.9730398321758121	0.05280723866918999	0.8903049346605897	1.2773065415076668	1.436311960565733
SFB3	10.4699	22.7499	22.8698	5.31108	4.84831	12.1322	5.35205	6.90178	5.04222	4.32275	-0.9729682120514054	0.166070679137554	0.8903049346605897	0.7797070383061274	0.9637155887059887
GLG2	12.3019	20.0101	23.4729	6.16763	4.28966	13.0326	5.61757	6.03955	4.40056	4.66754	-0.9725286286197349	0.14982707307498613	0.8903049346605897	0.8244097044954963	1.0074975721885195
POT1	4.70222	5.40039	5.92325	4.66758	13.0666	10.0259	12.8578	13.597	16.9998	12.7595	0.9723860594388388	0.010315743531471227	0.6271588713781686	1.986499463766691	2.108898316222099
BIO2	2.2967	2.74985	3.01731	3.03212	22.684	4.78559	4.6613	2.86691	39.9775	13.9287	0.9710985367669976	0.4417691649202299	0.9979149347641074	0.3548046007605089	0.5118191034625309
YEF3	12.5769	21.0057	20.9037	7.03377	4.57894	10.4381	7.0267	6.76625	4.28692	5.38305	-0.9632999826525208	0.10875137975234699	0.8903049346605897	0.9635652243500656	1.1414583720374085
YPL225W	12.4669	18.7084	19.2559	9.95807	5.62804	7.2582	6.20538	10.3202	4.88885	5.31014	-0.9580409003007422	0.049906922018205985	0.8903049346605897	1.3018392141797475	1.4591999866686614
GET4	12.2474	19.1726	19.9013	8.213	6.45989	10.2478	5.54721	7.75088	6.03471	4.42526	-0.9565556403282286	0.06093554829071769	0.8903049346605897	1.2151292767854187	1.3782661012489952
SSY5	10.3704	21.4014	21.5241	7.33904	5.35191	10.5565	7.37941	5.23485	4.37212	6.4702	-0.9560888968735868	0.11607681514604017	0.8903049346605897	0.9352545163480214	1.1144432896893797
SNO4	11.1294	17.6316	18.8118	8.43555	9.88549	7.07051	7.19328	6.96054	7.35386	5.52795	-0.9501121174776274	0.01771070158663014	0.7330005109166081	1.7517642344526745	1.8821288808952255
MID2	8.18199	3.00581	1.9604	7.366	13.6036	2.99612	13.0778	19.898	23.7861	6.12415	0.9493634536303542	0.19195939313614796	0.8903049346605897	0.7167906317237734	0.9012962527729421
URA5	14.1897	16.8862	14.8216	13.5275	6.39265	5.26973	8.19154	9.42181	5.22649	6.07281	-0.9452216660367392	0.012458044362077451	0.6627302084129383	1.9045501269719807	2.029039972479257
GAC1	10.2032	18.0134	15.9592	12.5785	9.05445	8.87002	6.11826	7.13751	5.65749	6.40786	-0.9446568930810889	0.00756595562717229	0.5651929831277002	2.121136210086723	2.2419677593126783
SNF8	12.0783	14.8873	15.9822	9.64721	13.1836	8.5426	4.44295	6.42764	6.75713	8.05119	-0.9427151030671882	0.0013759444204902828	0.24222090318731693	2.8613991085146644	3.028396709314077
SDS24	9.9238	22.7701	22.6384	7.35369	3.09227	12.3774	6.80432	6.01941	3.74894	5.2717	-0.94269646572003	0.18103404016442606	0.8903049346605897	0.7422397562600642	0.9266665515935516
HEK2	11.4417	20.36	26.1162	5.43094	2.42846	14.1406	5.1518	5.69604	4.01017	5.22417	-0.9426328319971512	0.22722824068672606	0.8936208537290291	0.6435376940339717	0.8272052215237854
CDC39	10.1015	22.2782	21.5847	7.0338	4.77107	15.1097	5.61599	4.76943	3.26014	5.47542	-0.942123705212222	0.17551453395506678	0.8903049346605897	0.7556869147814236	0.9400033743483683
HDA3	9.54753	12.3796	13.2351	7.09612	23.4914	9.28387	4.76203	7.56652	7.32349	5.31433	-0.9408713114283844	0.0630491610646676	0.8903049346605897	1.2003206877968398	1.3644280998420182
POP2	8.87004	18.4154	17.0592	8.00253	13.3959	10.464	4.61518	5.84598	8.19737	5.13438	-0.9404438023580409	0.028600896339889298	0.8301199923987992	1.5436203560538975	1.685238471210341
ORM1	8.70094	5.91047	5.41712	7.78079	6.46718	6.9816	15.7157	12.1315	20.5157	10.3789	0.9391873133925611	0.03050217910775594	0.8301199923987992	1.5156691330903262	1.6590084956660276
LSM12	8.97527	23.5957	23.5578	4.92155	4.65615	12.949	6.05774	5.39918	3.99763	5.88995	-0.9381002837032932	0.20941164017843633	0.890648082372244	0.6789991816602242	0.8632825451589264
NGL3	11.8128	20.6103	23.4665	5.14779	4.64383	9.45424	7.5696	7.05596	4.53213	5.70682	-0.9364839186258879	0.15223422053326216	0.8903049346605897	0.8174877120972643	1.0007458654332295
NUP84	10.5551	20.3493	20.0898	7.07241	7.61231	10.9129	5.36809	6.02097	6.66046	5.35874	-0.9363320897310159	0.08008100575244337	0.8903049346605897	1.0964704811082404	1.2671236382303896
SEC7	10.7368	22.2494	22.931	5.59956	4.12247	14.8751	5.96618	4.47521	3.12702	5.91717	-0.9337997272151131	0.20360908032956063	0.8903049346605897	0.6912028577248368	0.8756046393576614
MET12	14.2221	19.536	20.4064	7.53647	3.89883	10.7197	8.22098	6.82142	3.52253	5.11557	-0.9312744637113078	0.11096767777347102	0.8903049346605897	0.9548035023737024	1.133108715676466
YLR352W	9.06481	23.4901	24.5282	5.38447	3.09228	16.7047	5.51335	4.78748	2.82854	4.60614	-0.9287188340042836	0.26481959125526144	0.9353939485887555	0.577049889098944	0.7583399026799468
